origem_id,aba_origem,mes_origem,linha_excel_original,data,pedido,descricao,codigo,quantidade,preco_unitario,preco_total,flags_qualidade
JAN._FEV._L100,JAN.  FEV.,Jan-Fev,100,2026-02-05 00:00:00,,Licença Acrobat PRO,,,,84.0,quantidade_ausente;
JAN._FEV._L104,JAN.  FEV.,Jan-Fev,104,2026-02-05 00:00:00,1664,Fonte PC Automatico 500w,EF500,50.0,90.0,4500.0,linha_duplicada_suspeita;
JAN._FEV._L105,JAN.  FEV.,Jan-Fev,105,2026-02-05 00:00:00,1664,Fonte PC Automatico 500w,EF500,50.0,90.0,4500.0,linha_duplicada_suspeita;
JAN._FEV._L125,JAN.  FEV.,Jan-Fev,125,2026-02-06 00:00:00,,Monitor 19',AXPRO,50.0,,,preco_ausente;
JAN._FEV._L136,JAN.  FEV.,Jan-Fev,136,2026-02-06 00:00:00,,Monitor 19',AXPRO,251.0,,,preco_ausente;
JAN._FEV._L137,JAN.  FEV.,Jan-Fev,137,2026-02-06 00:00:00,,Monitor 24',AXPRO,100.0,,,preco_ausente;
JAN._FEV._L138,JAN.  FEV.,Jan-Fev,138,2026-02-06 00:00:00,,Monitor 20',AXPRO,60.0,,,preco_ausente;
JAN._FEV._L220,JAN.  FEV.,Jan-Fev,220,2026-02-13 00:00:00,,Monitro AXPro 24',,30.0,,,preco_ausente;
JAN._FEV._L221,JAN.  FEV.,Jan-Fev,221,2026-02-13 00:00:00,,Monitro AXPro 20',,300.0,,,preco_ausente;
JAN._FEV._L222,JAN.  FEV.,Jan-Fev,222,2026-02-13 00:00:00,,Monitro HQ 19',,70.0,,,preco_ausente;
JAN._FEV._L223,JAN.  FEV.,Jan-Fev,223,2026-02-13 00:00:00,,Plca Mae,H110,20.0,,,preco_ausente;
JAN._FEV._L321,JAN.  FEV.,Jan-Fev,321,2026-03-03 00:00:00,-,,,124.0,510.0,63240.0,descricao_ausente;
JAN._FEV._L322,JAN.  FEV.,Jan-Fev,322,2026-03-03 00:00:00,-,,,1.0,50.0,50.0,descricao_ausente;
MARÇO_ABRIL_L76,MARÇO  ABRIL,Mar-Abr,76,2026-03-06 00:00:00,236914,EXTENSOR CONVERSOR FIBRA OPTICA RJ45,4884,120.0,57.65,6918.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L77,MARÇO  ABRIL,Mar-Abr,77,2026-03-06 00:00:00,236914,EXTENSOR CONVERSOR FIBRA OPTICA RJ45,4884,120.0,57.65,6918.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L80,MARÇO  ABRIL,Mar-Abr,80,2026-03-06 00:00:00,-,MONITOR AX20',-,300.0,152.0,45600.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L82,MARÇO  ABRIL,Mar-Abr,82,2026-03-06 00:00:00,2811,DDR3 8GB 1600,1608P,500.0,121.5,60750.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L83,MARÇO  ABRIL,Mar-Abr,83,2026-03-06 00:00:00,2811,DDR3 8GB 1600,1608P,500.0,121.5,60750.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L310,MARÇO  ABRIL,Mar-Abr,310,2026-03-24 00:00:00,911936,MONITOR LED 19 BPC-19WE02-B PRETO,57944,500.0,135.0,67500.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L311,MARÇO  ABRIL,Mar-Abr,311,2026-03-24 00:00:00,911936,MONITOR LED 19 BPC-19WE02-B PRETO,57944,500.0,135.0,67500.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L319,MARÇO  ABRIL,Mar-Abr,319,2026-03-24 00:00:00,-,MONITOR AX22',-,10.0,180.0,1800.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L324,MARÇO  ABRIL,Mar-Abr,324,2026-03-24 00:00:00,-,MONITOR AX22',-,10.0,180.0,1800.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L326,MARÇO  ABRIL,Mar-Abr,326,2026-03-24 00:00:00,-,PLACA MAE H110,-,200.0,215.0,43000.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L350,MARÇO  ABRIL,Mar-Abr,350,2026-03-25 00:00:00,-,PLACA MAE H110,-,200.0,215.0,43000.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L366,MARÇO  ABRIL,Mar-Abr,366,2026-03-27 00:00:00,-,MONITOR AX20',-,300.0,152.0,45600.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L447,MARÇO  ABRIL,Mar-Abr,447,2026-04-06 00:00:00,4159,FECHADURA INTELIGENTE COM TELA,ALPHA-202,3.0,423.0,1269.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L448,MARÇO  ABRIL,Mar-Abr,448,2026-04-06 00:00:00,4159,FECHADURA INTELIGENTE COM TELA,ALPHA-202,3.0,423.0,1269.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L463,MARÇO  ABRIL,Mar-Abr,463,2026-04-07 00:00:00,1469,MOTO ELETRICA ,AC-6609,1.0,5808.0,5808.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L464,MARÇO  ABRIL,Mar-Abr,464,2026-04-07 00:00:00,1469,MOTO ELETRICA ,AC-6609,1.0,5808.0,5808.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L470,MARÇO  ABRIL,Mar-Abr,470,2026-04-08 00:00:00,8004,CAIXA DE SOM X69,IMS-X69,2.0,690.12,1380.24,linha_duplicada_suspeita;
MARÇO_ABRIL_L471,MARÇO  ABRIL,Mar-Abr,471,2026-04-08 00:00:00,8004,CAIXA DE SOM X69,IMS-X69,2.0,690.12,1380.24,linha_duplicada_suspeita;
MARÇO_ABRIL_L531,MARÇO  ABRIL,Mar-Abr,531,2026-04-14 00:00:00,914463,MONITOR LED 20' 20WR 75HZ PRETO,60856,100.0,149.9,14990.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L532,MARÇO  ABRIL,Mar-Abr,532,2026-04-14 00:00:00,914463,MONITOR LED 20' 20WR 75HZ PRETO,60856,100.0,149.9,14990.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L533,MARÇO  ABRIL,Mar-Abr,533,2026-04-14 00:00:00,914463,MONITOR LED 20' 20WR 75HZ PRETO,60856,100.0,149.9,14990.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L550,MARÇO  ABRIL,Mar-Abr,550,2026-04-15 00:00:00,-,DDR4 4GB,-,200.0,120.0,24000.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L553,MARÇO  ABRIL,Mar-Abr,553,2026-04-15 00:00:00,06123,SWITCH 16 PORTAS,KP-PW005,10.0,330.0,3300.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L554,MARÇO  ABRIL,Mar-Abr,554,2026-04-15 00:00:00,06123,SWITCH 16 PORTAS,KP-PW005,10.0,330.0,3300.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L627,MARÇO  ABRIL,Mar-Abr,627,2026-04-22 00:00:00,1116,TRICICLO ELETRICO,-,1.0,6150.0,6150.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L628,MARÇO  ABRIL,Mar-Abr,628,2026-04-22 00:00:00,1116,TRICICLO ELETRICO,-,1.0,6150.0,6150.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L638,MARÇO  ABRIL,Mar-Abr,638,2026-04-23 00:00:00,06551,DDR4 8GB 26666MHZ MEMORIA RAM,KP-HD817,200.0,171.0,34200.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L640,MARÇO  ABRIL,Mar-Abr,640,2026-04-23 00:00:00,06551,DDR4 8GB 26666MHZ MEMORIA RAM,KP-HD817,200.0,171.0,34200.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L642,MARÇO  ABRIL,Mar-Abr,642,2026-04-23 00:00:00,-,DDR4 4GB,-,200.0,120.0,24000.0,linha_duplicada_suspeita;
MARÇO_ABRIL_L691,MARÇO  ABRIL,Mar-Abr,691,2026-04-27 00:00:00,-,DDR4 8GB 2666MHZ DESK,DDR4,150.0,265.0,39750.0,linha_duplicada_suspeita;
